#Wavenumber (cm^-1);  Spectrum at 300.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
1172.69; 0.15673358; 698.14632670831
1174.72; 0.15771386; 698.46741852053
1176.76; 0.15837966; 698.78986583379
1178.79; 0.15868637; 699.11293758667
1180.83; 0.15865833; 699.43595225937
1182.87; 0.1583907; 699.75842205683
1184.90; 0.15803644; 700.08017061658
1186.94; 0.15778156; 700.40140024938
1188.97; 0.15781391; 700.72269574526
1191.01; 0.15829195; 701.04496449056
1193.05; 0.159319; 701.36932422212
1195.08; 0.16092725; 701.6969582182
1197.12; 0.16307369; 702.02896217398
1199.15; 0.16564809; 702.36620739131
1201.19; 0.16849157; 702.70924169641
1203.22; 0.17142262; 703.05824335068
1205.26; 0.1742665; 703.4130348992
1207.30; 0.17688346; 703.77315435268
1209.33; 0.17919092; 704.13797159869
1211.37; 0.1811759; 704.50683009657
1213.40; 0.18289543; 704.87918941301
1215.44; 0.18446501; 705.25474426162
1217.48; 0.18603757; 705.63350070788
1219.51; 0.1877773; 706.01579907994
1221.55; 0.1898335; 706.40228369594
1223.58; 0.19231922; 706.79382902709
1225.62; 0.19529755; 707.19143798516
1227.66; 0.19877638; 707.59612953666
1229.69; 0.20271039; 708.00883039666
1231.73; 0.20700817; 708.43028116762
1233.76; 0.21154253; 708.86096349201
1235.80; 0.21616332; 709.30105335341
1237.84; 0.22071332; 709.75040662238
1239.87; 0.22504773; 710.20858438544
1241.91; 0.22905691; 710.67492448316
1243.94; 0.23268913; 711.1486594649
1245.98; 0.23596778; 711.62906950388
1248.02; 0.23899591; 712.1156445438
1250.05; 0.24194252; 712.60821864327
1252.09; 0.24500982; 713.10703748831
1254.12; 0.24838681; 713.61273160262
1256.16; 0.25220167; 714.1261924444
1258.19; 0.25648813; 714.64838014962
1260.23; 0.26117974; 715.18011956496
1262.27; 0.26613819; 715.72195395538
1264.30; 0.27121077; 716.2741156796
1266.34; 0.27630072; 716.83664010758
1268.37; 0.28142734; 717.40960188325
1270.41; 0.28675325; 717.99340675581
1272.45; 0.29256532; 718.5890445024
1274.48; 0.29921031; 719.19821086577
1276.52; 0.30700218; 719.82324080331
1278.55; 0.3161289; 720.466851954
1280.59; 0.32658835; 721.13175764876
1282.63; 0.33817481; 721.82025236897
1284.66; 0.35052159; 722.5338840824
1286.70; 0.36318792; 723.27330335048
1288.73; 0.37576441; 724.03832726955
1290.77; 0.38796736; 724.82819532767
1292.81; 0.39969737; 725.64194468269
1294.84; 0.41105118; 726.47880940442
1296.88; 0.42229047; 727.33855635744
1298.91; 0.43378369; 728.22170250627
